str;mp;location;format;messages;freq;gnss;n1;country;lat;lon;n2;n3;ntrips;n4;n5;n6;n7;n8
STR;AL89;Pisy;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;47.557;4.146;0;0;NTRIPRTKBaseUblox_ZED-F9P2.2.0;none;N;N;15200;CentipedeRTK
STR;ALZ22;Saint-Igeaux;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.273;-3.118;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
STR;AMIEN;Amiens;RTCM3;1004,1005,1006,1007,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.870;2.303;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.01.13;none;N;N;15200;CentipedeRTK
STR;ANDR;Heudicourt;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.337;1.665;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
STR;ARL72;Chantenay-Villedieu;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;47.947;-0.111;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
STR;ARRAS;Saint-Laurent-Blangy;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;50.292;2.790;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.21.13;none;N;N;15200;CentipedeRTK
STR;ASD21;Dijon;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;47.311;5.065;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.21.13;none;N;N;15200;CentipedeRTK
STR;BDN;Maubec;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;45.557;5.248;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
STR;BESNO;Avon-les-Roches;RTCM3;1004,1005,1006,1012,1019,1020,1042,1045,1046,1077,1087,1097,1127;2;GLO+GAL+BDS+GPS;NONE;FRA;47.150;0.462;0;0;NTRIP;none;N;N;15200;CentipedeRTK
STR;BIGO1;Moyenneville;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.494;2.626;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.4;none;N;N;15200;CentipedeRTK
STR;BRTAT;Maulicheres;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;43.687;-0.094;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.11.13;none;N;N;15200;CentipedeRTK
STR;BSLL;Boissei-la-Lande;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1074,1077,1084,1087,1094,1097,1107,1124,1127;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.694;0.066;0;0;NTRIPUblox_ZED-F9P;none;N;N;15200;CentipedeRTK
STR;BXATI;HUN;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;HUN;45.989;18.538;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.13;none;N;N;15200;CentipedeRTK
STR;CAMBR;Sailly-lez-Cambrai;RTCM3;1005,1006,1008,1033,1230;2;;NONE;FRA;50.194;3.178;0;0;NTRIPRTKBaseUblox_ZED-F9P2.2.0;none;N;N;15200;CentipedeRTK
STR;CAZ0;Puyol-Cazalet;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;43.607;-0.401;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.21.32;none;N;N;15200;CentipedeRTK
STR;CCPI;Lanrivoare;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1046,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.470;-4.646;0;0;NTRIPRTKBaseUblox_ZED-F9P2.4.11.13;none;N;N;15200;CentipedeRTK
STR;CDA2;Miermaigne;RTCM3;1004,1005,1006,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;48.254;0.989;0;0;NTRIPRTKBaseUblox_ZED-F9P2.3.3;none;N;N;15200;CentipedeRTK
STR;CHAU;Chaussoy-Epagny;RTCM3;1004,1005,1006,1007,1008,1012,1019,1020,1033,1042,1077,1087,1097,1107,1127,1230;2;GLO+GAL+SBS+BDS+GPS;NONE;FRA;49.728;2.331;0;0;NTRIPRTKBaseU-blox_ZED-F9P2.4.11.32;none;N;N;15200;CentipedeRTK
